,Series_Title,Released_Year,Certificate,Runtime,IMDB_Rating,Meta_score,Director,Gross,Drama,Crime,Action,Biography,Western,Comedy,Adventure,Animation,Horror,Mystery,Film-Noir,Fantasy,Family,Thriller,Romance,Sci-Fi,War,Music,Musical,Sport,History
93,Inglourious Basterds,2009,A,153 min,8.3,69.0,Quentin Tarantino,"120,540,719",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
94,Eternal Sunshine of the Spotless Mind,2004,UA,108 min,8.3,89.0,Michel Gondry,"34,400,301",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
95,Amélie,2001,U,122 min,8.3,69.0,Jean-Pierre Jeunet,"33,225,499",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
96,Snatch,2000,UA,104 min,8.3,55.0,Guy Ritchie,"30,328,156",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Requiem for a Dream,2000,A,102 min,8.3,68.0,Darren Aronofsky,"3,635,482",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,American Beauty,1999,UA,122 min,8.3,84.0,Sam Mendes,"130,096,601",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Good Will Hunting,1997,U,126 min,8.3,70.0,Gus Van Sant,"138,433,435",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
100,Bacheha-Ye aseman,1997,PG,89 min,8.3,77.0,Majid Majidi,"933,933",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
101,Toy Story,1995,U,81 min,8.3,95.0,John Lasseter,"191,796,233",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Braveheart,1995,A,178 min,8.3,68.0,Mel Gibson,"75,600,000",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
103,Reservoir Dogs,1992,R,99 min,8.3,79.0,Quentin Tarantino,"2,832,029",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
104,Full Metal Jacket,1987,UA,116 min,8.3,76.0,Stanley Kubrick,"46,357,676",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
105,Idi i smotri,1985,A,142 min,8.3,,Elem Klimov,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
106,Aliens,1986,U,137 min,8.3,84.0,James Cameron,"85,160,248",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
107,Amadeus,1984,R,160 min,8.3,88.0,Milos Forman,"51,973,029",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
108,Scarface,1983,A,170 min,8.3,65.0,Brian De Palma,"45,598,982",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Star Wars: Episode VI - Return of the Jedi,1983,U,131 min,8.3,58.0,Richard Marquand,"309,125,409",0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
110,Das Boot,1981,R,149 min,8.3,86.0,Wolfgang Petersen,"11,487,676",1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
111,Taxi Driver,1976,A,114 min,8.3,94.0,Martin Scorsese,"28,262,574",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,The Sting,1973,U,129 min,8.3,83.0,George Roy Hill,"159,600,000",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,A Clockwork Orange,1971,A,136 min,8.3,77.0,Stanley Kubrick,"6,207,725",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
114,2001: A Space Odyssey,1968,U,149 min,8.3,84.0,Stanley Kubrick,"56,954,992",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
115,Per qualche dollaro in più,1965,U,132 min,8.3,74.0,Sergio Leone,"15,000,000",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Lawrence of Arabia,1962,U,228 min,8.3,100.0,David Lean,"44,824,144",1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,The Apartment,1960,U,125 min,8.3,94.0,Billy Wilder,"18,600,000",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
118,North by Northwest,1959,U,136 min,8.3,98.0,Alfred Hitchcock,"13,275,000",0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
119,Vertigo,1958,A,128 min,8.3,100.0,Alfred Hitchcock,"3,200,000",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
120,Singin' in the Rain,1952,G,103 min,8.3,99.0,Stanley Donen,"8,819,028",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
121,Ikiru,1952,,143 min,8.3,,Akira Kurosawa,"55,240",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Ladri di biciclette,1948,,89 min,8.3,,Vittorio De Sica,"332,930",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Double Indemnity,1944,Passed,107 min,8.3,95.0,Billy Wilder,"5,720,000",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
124,Citizen Kane,1941,UA,119 min,8.3,100.0,Orson Welles,"1,585,634",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
125,M - Eine Stadt sucht einen Mörder,1931,Passed,117 min,8.3,,Fritz Lang,"28,877",0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
126,Metropolis,1927,,153 min,8.3,98.0,Fritz Lang,"1,236,166",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
